learning_path_title,live_url,description,repository_path,foundry_module_count,total_module_count,foundry_module_titles,foundry_module_uids
Deploy and govern enterprise agentic AI solutions on Azure,https://learn.microsoft.com/training/paths/aaai-3-deploy-govern-agentic-ai-solutions-azure/,"Deploying and governing enterprise agentic AI solutions on Azure requires a structured approach to CI/CD pipelines, zero-trust security, responsible AI compliance, and agent lifecycle management. This learning path guides you through the operational and governance capabilities required to run multi-agent systems reliably and safely at enterprise scale.",learn-pr/paths/aaai-3-deploy-govern-agentic-ai-solutions-azure/index.yml,4,4,Implement CI/CD pipelines for multi-agent systems with GitHub Actions | Secure multi-agent systems with Azure zero-trust architecture | Scale responsible AI governance with Azure AI Content Safety and Microsoft Foundry | Govern the enterprise agent lifecycle in Microsoft Foundry,learn.wwl.implement-cicd-multi-agent-systems-github-actions | learn.wwl.secure-multi-agent-systems-azure-zero-trust | learn.wwl.scale-responsible-ai-governance-multi-agent | learn.wwl.govern-enterprise-agent-lifecycle-azure
Design security solutions for infrastructure,https://learn.microsoft.com/training/paths/sc-100-design-security-solutions-infrastructure/,"You learn how to design solutions for infrastructure security. These infrastructure solutions include specifying requirements for different cloud models, designing solutions for posture management in hybrid and multicloud environments, and securing endpoints. Here are all the learning paths in preparation for the SC-100 exam: Microsoft Cybersecurity Architect. Design solutions that align with security best practices and priorities",learn-pr/paths/sc-100-design-security-solutions-infrastructure/index.yml,1,5,"Specify requirements for securing SaaS, PaaS, and IaaS services",learn.wwl.specify-requirements-secure-saas-paas-iaas-services
Develop a generative AI chat app using the Microsoft Foundry SDK (Microsoft Applied Skill),https://learn.microsoft.com/training/paths/apl-3030/,This learning path prepares you for the Microsoft Applied Skill Develop a Generative AI Chat App Using the Microsoft Foundry SDK .,learn-pr/paths/apl-3030/index.yml,1,1,Develop an AI app with the Microsoft Foundry SDK,learn.wwl.ai-foundry-sdk
Develop AI agents on Azure,https://learn.microsoft.com/training/paths/develop-ai-agents-azure/,"Generative Artificial Intelligence (AI) is becoming more functional and accessible, and AI agents are a key component of this evolution. This learning path will help you understand the AI agents, including when to use them and how to build them, using Microsoft Foundry Agent Service and Microsoft Agent Framework. By the end of this learning path, you will have the skills needed to develop AI agents on Azure.",learn-pr/paths/develop-ai-agents-azure/index.yml,9,9,Develop AI agents with Microsoft Foundry and Visual Studio Code | Integrate custom tools into your agent | Integrate MCP Tools with Azure AI Agents | Build knowledge-enhanced AI agents with Foundry IQ | Integrate your agent with Microsoft 365 | Build agent-driven workflows using Microsoft Foundry | Develop an AI agent with Microsoft Agent Framework | Orchestrate a multi-agent solution using the Microsoft Agent Framework | Discover Azure AI Agents with A2A,learn.wwl.develop-ai-agents-azure-vs-code | learn.wwl.build-agent-with-custom-tools | learn.wwl.connect-agent-to-mcp-tools | learn.wwl.introduction-foundry-iq | learn.wwl.integrate-foundry-agent-with-m365 | learn.wwl.build-agent-workflows-microsoft-foundry | learn.wwl.develop-ai-agent-with-semantic-kernel | learn.wwl.orchestrate-sk-multi-agent-solution | learn.wwl.discover-agents-with-a2a
Develop computer vision solutions with Microsoft Foundry,https://learn.microsoft.com/training/paths/develop-computer-vision-with-foundry/,"Generative AI enables powerful computer vision capabilities, from creating images and videos to extracting insights from visual content. This learning path helps you understand how to generate images, create videos from prompts, and analyze images using Content Understanding in Microsoft Foundry. By the end of this learning path, you will have the skills to build computer vision solutions that generate and analyze visual content on Azure.",learn-pr/paths/develop-computer-vision-with-foundry/index.yml,4,4,Develop a vision-enabled generative AI application | Generate images with AI | Generate videos with Microsoft Foundry | Analyze images with Content Understanding,learn.wwl.develop-generative-ai-vision-apps | learn.wwl.generate-images-azure-openai | learn.wwl.generate-video-with-foundry | learn.wwl.analyze-images-with-content-understanding
Develop generative AI apps in Azure,https://learn.microsoft.com/training/paths/develop-generative-ai-apps/,Generative artificial intelligence (AI) is becoming more accessible through comprehensive development platforms like Microsoft Foundry. Learn how to build generative AI applications that use language models to interact with your users.,learn-pr/paths/develop-generative-ai-apps/index.yml,6,6,"Plan and prepare to develop AI solutions on Azure | Select, deploy, and evaluate Microsoft Foundry models | Develop a generative AI chat app with Microsoft Foundry | Develop generative AI apps that use tools | Optimize generative AI model performance with Microsoft Foundry | Implement a responsible generative AI solution in Microsoft Foundry",learn.wwl.prepare-azure-ai-development | learn.wwl.model-catalog-evaluate | learn.wwl.foundry-sdk | learn.wwl.generative-ai-tools | learn.wwl.optimize-generative-ai-model-performance | learn.wwl.responsible-ai-studio
Develop natural language solutions in Azure,https://learn.microsoft.com/training/paths/develop-language-solutions-azure-ai/,"Natural language solutions use language models to interpret the semantic meaning of written or spoken language, and in some cases respond based on that meaning. You can use Microsoft Foundry to develop AI apps and agents that can analyze text, transcribe and synthesize speech, and translate languages.",learn-pr/paths/develop-language-solutions-azure-ai/index.yml,7,7,Analyze text with Azure Language in Foundry Tools | Develop a text analysis agent with the Azure Language MCP server | Develop a speech-capable generative AI application | Create speech-enabled apps with Azure Speech in Microsoft Foundry Tools | Develop a speech agent with the Azure Speech MCP server | Develop an Azure Speech Voice Live Agent in Microsoft Foundry | Translate text and speech with Microsoft Foundry Tools,learn.wwl.analyze-text-ai-language | learn.wwl.develop-text-analysis-agent-language-mcp | learn.wwl.develop-generative-ai-audio-apps | learn.wwl.create-speech-enabled-apps | learn.wwl.develop-speech-agent-speech-mcp | learn.wwl.develop-voice-live-agent | learn.wwl.translate-text-speech
Discover AI for leaders in manufacturing,https://learn.microsoft.com/training/paths/discover-microsoft-ai-leaders-manufacturing/,"In this learning path, business leaders will find the knowledge and resources to adopt AI in their organizations. It explores planning, strategizing, and scaling AI projects in a responsible way.",learn-pr/paths/discover-microsoft-ai-leaders-manufacturing/index.yml,1,5,Embrace responsible AI principles and practices,learn.wwl.embrace-responsible-ai-principles-practices
Discover AI for leaders in nonprofit,https://learn.microsoft.com/training/paths/discover-ai-leaders-nonprofit/,"In this learning path, business leaders will find the knowledge and resources to adopt AI in their organizations. It explores planning, strategizing, and scaling AI projects in a responsible way.",learn-pr/paths/discover-ai-leaders-nonprofit/index.yml,1,5,Embrace responsible AI principles and practices,learn.wwl.embrace-responsible-ai-principles-practices
Discover AI for leaders in retail,https://learn.microsoft.com/training/paths/discover-microsoft-ai-leaders-retail/,"In this learning path, business leaders will find the knowledge and resources to adopt AI in their organizations. It explores planning, strategizing, and scaling AI projects in a responsible way.",learn-pr/paths/discover-microsoft-ai-leaders-retail/index.yml,1,5,Embrace responsible AI principles and practices,learn.wwl.embrace-responsible-ai-principles-practices
Enhance security operations by using Microsoft Security Copilot,https://learn.microsoft.com/training/paths/security-copilot-and-ai/,"Learn about Microsoft Security Copilot, an AI-powered security analysis tool that enables analysts to process security signals and respond to threats at a machine speed, and the AI concepts upon which it's built.",learn-pr/paths/security-copilot-and-ai/index.yml,1,6,Introduction to generative AI and agents,learn.wwl.fundamentals-generative-ai
Evaluate generative AI applications,https://learn.microsoft.com/training/paths/evaluate-generative-ai-apps/,"Explore concepts and methodologies for evaluating generative AI applications. Through code-first exercises and real-world scenarios, you'll learn to analyze and assess output quality, evaluate output using custom evaluators, and generate synthetic datasets.",learn-pr/paths/evaluate-generative-ai-apps/index.yml,1,2,Run evaluations and generate synthetic datasets,learn.run-evaluations-generate-synthetic-datasets
Explore SQL Server 2025 capabilities,https://learn.microsoft.com/training/paths/explore-sql-server-capabilities/,"Learn about SQL Server 2025 enhancements, including: AI-powered capabilities with vector search and embeddings. Hybrid data platform with cloud and on-premises integration. Data virtualization and PolyBase improvements with S3-compatible object storage. T-SQL enhancements for modern development workflows. Enhanced security, analytics, and performance features.",learn-pr/paths/explore-sql-server-capabilities/index.yml,1,5,Build AI-powered solutions using SQL Server 2025,learn-wwl.build-ai-solutions-sql-server
Extract insights from visual data on Azure,https://learn.microsoft.com/training/paths/insight-visual-data/,"Use generative AI, computer vision, and Content Understanding capabilities in Azure to extract insights from visual data, supporting scenarios like: Image analysis Image and video generation Content Understanding and enrichment Visual search and classification Digital asset management (DAM) Multimodal AI solutions",learn-pr/paths/insight-visual-data/index.yml,8,8,Develop a vision-enabled generative AI application | Generate images with AI | Generate videos with Microsoft Foundry | Analyze images with Content Understanding | Create a multimodal analysis solution with Azure Content Understanding | Create an Azure Content Understanding client application | Extract data with Azure Document Intelligence | Create a knowledge mining solution with Azure AI Search,learn.wwl.develop-generative-ai-vision-apps | learn.wwl.generate-images-azure-openai | learn.wwl.generate-video-with-foundry | learn.wwl.analyze-images-with-content-understanding | learn.wwl.analyze-content-ai | learn.wwl.analyze-content-ai-api | learn.wwl.extract-data-with-document-intelligence | learn.wwl.ai-knowledge-mining
Get started with AI applications and agents on Azure,https://learn.microsoft.com/training/paths/get-started-ai-apps-agents/,Learn how to get started with AI workloads and solutions in Microsoft Foundry. Start with a basic introduction and then dive into common AI workloads like: Generative AI and agents Text analysis Speech Computer vision Information extraction Knowledge retrieval with Foundry IQ,learn-pr/paths/get-started-ai-apps-agents/index.yml,7,7,Get started with AI in Azure | Get started with generative AI and agents in Azure | Get started with text analysis in Azure | Get started with speech in Azure | Get started with computer vision in Azure | Get started with AI-powered information extraction in Azure | Get started with Microsoft Foundry IQ,learn.wwl.get-started-with-ai-in-azure | learn.wwl.get-started-with-generative-ai-and-agents | learn.wwl.get-started-with-text-analysis-in-azure | learn.wwl.get-started-with-speech-in-azure | learn.wwl.get-started-with-computer-vision-in-azure | learn.wwl.get-started-information-extraction | learn.wwl.get-started-foundry-iq
GitHub responsible AI,https://learn.microsoft.com/training/paths/github-responsible-ai/,Strengthen your knowledge of essential AI topics while focusing on responsible technology use.,learn-pr/paths/github-responsible-ai/index.yml,2,3,Introduction to generative AI and agents | Embrace responsible AI principles and practices,learn.wwl.fundamentals-generative-ai | learn.wwl.embrace-responsible-ai-principles-practices
Govern AI-ready infrastructure,https://learn.microsoft.com/training/paths/govern-ai-ready-infrastructure/,"This course teaches how to govern AI-ready infrastructure with Microsoft Foundry by enforcing policies, secure access, managing costs, regulating model behavior, and monitor compliance through practical, real-world governance scenarios.",learn-pr/paths/govern-ai-ready-infrastructure/index.yml,4,5,Explore AI governance for AI ready infrastructure | Govern AI ready workloads with Microsoft Foundry | Run governed AI workloads with Microsoft Foundry | Protect and govern AI ready infrastructure with Azure,learn.wwl.explore-ai-governance-ai-ready-infrastructure | learn.wwl.govern-ai-ready-workloads-microsoft-foundry | learn.wwl.run-governed-ai-workloads-microsoft-foundry | learn.wwl.protect-govern-ai-ready-infrastructure-azure
HoloLens 2 fundamentals: develop mixed reality applications,https://learn.microsoft.com/training/paths/beginner-hololens-2-tutorials/,"Learn the techniques and best practices for developing mixed reality applications.You will identify and describe some of the core concepts like Mixed Reality Toolkit (MRTK), Azure Services, PC Holographic Remoting, and so on.",learn-pr/paths/beginner-hololens-2-tutorials/index.yml,1,8,Add Azure AI services to your mixed reality project,learn.azure.azure-speech-services-tutorials-mrtk
Implement security for AI,https://learn.microsoft.com/training/paths/implement-ai-security/,"AI workloads introduce new attack surfaces across identity, data, and runtime layers that traditional security controls don't fully address. In this learning path, you implement layered AI security controls across the Microsoft security platform. You start by discovering and assessing AI data risks using Microsoft Purview Data Security Posture Management (DSPM). Next you secure agent identities using Microsoft Entra Agent ID and Conditional Access, and analyze AI identity blast radius and attack paths in Microsoft Defender XDR. From there, you configure real-time runtime protection for Copilot Studio agents using Microsoft Defender for Cloud Apps, and secure AI model traffic using AI Gateway in Microsoft Foundry. Finally, you configure guardrails in Microsoft Foundry, protect AI workloads using Microsoft Defender for Cloud, and govern deployed agents using Microsoft Agent 365.",learn-pr/paths/implement-ai-security/index.yml,3,9,Configure AI Gateway security in Microsoft Foundry | Configure and manage guardrails in Microsoft Foundry | Protect AI workloads with Microsoft Defender for Cloud,learn.wwl.configure-ai-gateway-security-foundry | learn.wwl.azure-ai-foundry-configure-manage-guardrails | learn.wwl.defender-for-cloud-ai-protect-workloads
Implement security for Azure Storage for the cloud and AI security engineer,https://learn.microsoft.com/training/paths/implement-azure-storage-security/,"Implement a defense-in-depth security strategy for Azure Storage. In this learning path, you harden storage accounts against common attack vectors, and govern access with Microsoft Entra ID managed identities and stored access policies. Next you configure network perimeter controls using firewall rules and private endpoints, and enable Microsoft Defender for Storage to detect threats including malicious file uploads and compromised AI agent credentials.",learn-pr/paths/implement-azure-storage-security/index.yml,1,4,Configure network security for Azure Storage,learn.wwl.configure-network-security-azure-storage
Introduction to artificial intelligence for trainers,https://learn.microsoft.com/training/paths/introduction-to-artificial-intelligence-for-trainers/,"This learning path provides foundational knowledge about the principles of artificial intelligence (AI) and how it's used in educational settings. It includes a comprehensive exploration into AI principles, an introductory module on leveraging the potential of AI for trainers, a practical exploration of AI applications, and activities for incorporating AI into teaching and learning. By taking this learning path, you'll develop an understanding of various types of AI subsets and their practical applications. You'll also learn how to enhance your training programs with AI. Additionally, you'll gain valuable insights from real-world examples of AI in action and examine how AI can enhance educational processes.",learn-pr/paths/introduction-to-artificial-intelligence-for-trainers/index.yml,4,4,A guide to artificial intelligence | Tailoring trainings with AI | Exploring artificial intelligence in action | Use AI-powered tools for training,learn.philanthropies.a-guide-to-artifical-intelligence | learn.philanthropies.introduction-to-ai-for-trainers | learn.philanthropies.exploring-artificial-intelligence-in-action | learn.philanthropies.ai-powered-tools-for-teaching
Introduction to generative AI for trainers,https://learn.microsoft.com/training/paths/intro-generative-ai-for-trainers/,This learning path explores the potential applications of generative AI tools in your training and personal pursuits. You will learn how to create engaging educational materials by harnessing the capabilities of Microsoft Copilot and how to create images in diverse artistic styles using AI-powered image generators.,learn-pr/paths/intro-generative-ai-for-trainers/index.yml,4,4,Introduction to generative AI - Exploring the basics | Create effective prompts for generative AI training tools | Create images with generative AI | Use Microsoft Copilot to create training materials,learn.philanthropies.intro-generative-ai-explore-basics | learn.philanthropies.create-prompts-for-generative-ai-training-tools | learn.philanthropies.create-images-with-generative-ai | learn.philanthropies.use-copilot-to-create-training-materials
Introduction to Microsoft Azure Data core data concepts,https://learn.microsoft.com/training/paths/azure-data-fundamentals-explore-core-data-concepts/,"Data is the foundation on which all software is built. By learning about common data formats, workloads, roles, and services, you can prepare yourself for a career as a data professional. This learning path helps you prepare for the Azure Data Fundamentals certification.",learn-pr/paths/azure-data-fundamentals-explore-core-data-concepts/index.yml,1,2,Explore data roles and services,learn.wwl.explore-roles-responsibilities-world-of-data
Manage AI-ready infrastructure,https://learn.microsoft.com/training/paths/manage-ai-ready-infrastructure/,"Learn to manage AI infrastructure by planning compute capacity, enforcing governance, configuring monitoring, and optimizing costs to support scalable, compliant, and high-performing AI workloads.",learn-pr/paths/manage-ai-ready-infrastructure/index.yml,2,4,Configure AI-ready infrastructure with Microsoft Foundry | Implement resilient AI-ready infrastructure,learn.wwl.configure-ai-ready-infrastructure-microsoft-foundry | learn.wwl.implement-resilient-ai-ready-infrastructure
"Manage Authentication, Authorization, and RBAC for AI workloads on Azure",https://learn.microsoft.com/training/paths/manage-iam-for-ai-workloads-on-azure/,"Cloud Administrators are responsible for securing identity and RBAC for AI workloads on Azure. This learning path is designed to teach you Azure's robust identity capabilities. Through these comprehensive modules, you'll explore how to secure authentication and authorization and safeguard AI services. Equip yourself with the knowledge to confidently implement security best practices and protect your AI-driven solutions.",learn-pr/paths/manage-iam-for-ai-workloads-on-azure/index.yml,1,2,Secure authentication and authorization for Azure OpenAI in Microsoft Foundry,learn.secure-azure-openai-authentication-authorization
Maximize the Cost Efficiency of AI Agents on Azure,https://learn.microsoft.com/training/paths/maximize-cost-efficiency-ai-agents/,"Maximize the ROI of AI agent investments by making cost-conscious, informed decisions at every stage. This learning path offers actionable guidance, from identifying high-impact use cases and understanding cost drivers, to forecasting ROI, adopting best practices, designing scalable and effective architectures, and optimizing ongoing investments. Whether you're just beginning your AI journey or scaling enterprise adoption, you find practical strategies to build, deploy, and manage AI agents on Azure with confidence. Align innovation with financial discipline to ensure your AI initiatives deliver sustainable value and long-term success.",learn-pr/paths/maximize-cost-efficiency-ai-agents/index.yml,7,7,Identify and Prioritize High-Impact AI Agent Use Cases | Understand the key cost drivers of AI agents | Forecast the return on investment (ROI) of AI agents | Implement best practices to empower AI agent efficiency and ensure long-term success | Maximize cost efficiency by choosing the right AI agent development approach on Azure | Architect scalable and cost-efficient AI agent solutions on Azure | Manage and optimize AI agent investments on Azure,learn.identify-ai-agent-use-case | learn.ai-agent-cost-structure | learn.forcast-agent-return-investment | learn.adopt-ai-agent-best-practice | learn.maximize-cost-efficiency-ai-agent-development | learn.architect-scalable-t-solutions | learn.manage-optimize-agent-investment-azure
Mitigate threats using Microsoft Security Copilot,https://learn.microsoft.com/training/paths/sc-200-mitigate-threats-using-microsoft-copilot-for-security/,"Get started with Microsoft Security Copilot. You're introduced to basic terminology, how Microsoft Security Copilot processes prompts, the elements of an effective prompt, and how to enable the solution. This learning path aligns with exam SC-200: Microsoft Security Operations Analyst.",learn-pr/paths/sc-200-mitigate-threats-using-microsoft-copilot-for-security/index.yml,1,5,Introduction to generative AI and agents,learn.wwl.fundamentals-generative-ai
Mixed Reality design,https://learn.microsoft.com/training/paths/mixed-reality-design/,Learn the fundamentals of designing mixed reality apps and experiences.,learn-pr/paths/mixed-reality-design/index.yml,1,3,Introduction to mixed reality,learn.intro-to-mixed-reality
"Monitor, evaluate, and operate multi-agent AI solutions in Azure",https://learn.microsoft.com/training/paths/aaai-4-monitor-evaluate-operate-multi-agent-ai-solutions-azure/,"Operating production-grade multi-agent AI solutions in Azure requires end-to-end visibility, systematic quality measurement, and structured incident response. This learning path guides you through distributed OpenTelemetry observability with Azure Monitor Application Insights, LLM-as-judge agent evaluation using Azure AI Foundry, multi-agent cost and performance optimization, enterprise human-in-the-loop approval workflows with Power Automate, and structured debugging procedures for production AI incidents.",learn-pr/paths/aaai-4-monitor-evaluate-operate-multi-agent-ai-solutions-azure/index.yml,5,5,Implement distributed observability for multi-agent solutions with OpenTelemetry | Design evaluation frameworks for multi-agent solutions with Microsoft Foundry | Optimize multi-agent performance and cost in Microsoft Foundry | Design human-in-the-loop approval workflows with Power Automate and Microsoft Teams | Debug and respond to production multi-agent incidents in Azure,learn.wwl.implement-distributed-observability-multi-agent-opentelemetry | learn.wwl.design-evaluation-frameworks-multi-agent-azure | learn.wwl.optimize-multi-agent-performance-cost-azure | learn.wwl.design-human-in-loop-approval-workflows | learn.wwl.debug-production-multi-agent-incidents-azure
Operationalize AI responsibly with Azure AI Foundry,https://learn.microsoft.com/training/paths/operationalize-ai-responsibly/,"Explore Azure AI Foundry's tools for generative AI security, privacy, and quality. Shift from reactive risk management to agile, responsible-by-design governance for better observability and efficiency.",learn-pr/paths/operationalize-ai-responsibly/index.yml,2,3,Implement generative AI guardrails in Azure AI Foundry | Measure and mitigate risks for a generative AI app in Azure AI Foundry,learn.moderate-content-detect-harm-azure-ai-content-safety-studio | learn.measure-mitigate-risks-azure-ai-studio
Operationalize generative AI applications (GenAIOps),https://learn.microsoft.com/training/paths/operationalize-gen-ai-apps/,"Learn how to operationalize generative AI applications using the complete GenAIOps lifecycle. This learning path covers planning and preparing GenAIOps solutions, managing prompts for agents with version control, evaluating and optimizing agents through structured experiments, automating evaluations with Microsoft Foundry and GitHub Actions, monitoring application performance and costs, and implementing distributed tracing to debug complex AI workflows.",learn-pr/paths/operationalize-gen-ai-apps/index.yml,6,6,Plan and prepare a GenAIOps solution | Manage prompts for agents in Microsoft Foundry with GitHub | Evaluate and optimize AI agents through structured experiments | Automate AI evaluations with Microsoft Foundry and GitHub Actions | Monitor your generative AI application | Analyze and debug your generative AI app with tracing,learn.wwl.plan-prepare-genaiops | learn.wwl.prompt-versioning-genaiops | learn.wwl.evaluate-optimize-agents | learn.wwl.automated-evaluation-genaiops | learn.wwl.monitor-generative-ai-app | learn.wwl.tracing-generative-ai-app
Protect Microsoft Foundry solutions by using Microsoft Defender for Cloud,https://learn.microsoft.com/training/paths/defender-for-cloud-ai-foundry-protect/,"As AI workloads become central to business operations, they introduce new security challenges that traditional cloud tools don't fully address. In this learning path, you learn how to: Understand AI workload risks and how Microsoft Defender for Cloud identifies and protects AI assets Enable the AI Workloads plan and use Cloud Security Posture Management (CSPM) to discover and remediate misconfigurations Use Cloud Workload Protection (CWP) to detect runtime threats targeting AI components Investigate AI security alerts in Microsoft Defender XDR Configure and manage guardrails in Microsoft Foundry to prevent unsafe or policy-violating model behavior",learn-pr/paths/defender-for-cloud-ai-foundry-protect/index.yml,4,4,Understand how Microsoft Defender for Cloud supports AI security and governance in Azure | Protect AI workloads with Microsoft Defender for Cloud | Configure and manage guardrails in Microsoft Foundry | Secure Microsoft Foundry environments,learn.wwl.defender-for-cloud-ai-understand-protections | learn.wwl.defender-for-cloud-ai-protect-workloads | learn.wwl.azure-ai-foundry-configure-manage-guardrails | learn.wwl.azure-ai-foundry-secure-environment
