Sample_ID,Product,Modality,Skilling,Course[Course ID],Course[Course Title],Course[Url],Course[CourseDuration],Course[Modality],Course[CourseKey],Course[Is Active],Course[Credit Hours],Course[Description],Course[CreateDate],Course[Hosted Training Organization],Course[SourceSystem],Skill,Skill_Category,Sub_Category,Content_Level,Skill_Level,Course_Hours,Detected_Language
12,Cloud & AI,LearningPath,TS - Cloud & AI Apps GBB SE TechLabs (LP11366),11366,TS - Cloud & AI Apps GBB SE TechLabs (LP11366),https://learningpath.microsoft.com/11366,2h,LearningPath,977757,Yes,,"These Hands-on Labs are curated to help you be successful in your role. They cover building intelligent AI agents, securing LLM apps, deploying scalable cloud infrastructure, and designing Retrieval-Augmented Generation (RAG) applications using tools like Azure AI Agent Service, GraphRAG, AKS, APIM, Cosmos DB, and Semantic Kernel.",9/9/2025 12:00:00 AM,MCAPS Academy,LearningAdminCentral,Cloud & AI,Technical Skills,AI & ML Technologies,Proficient,L300,2.0,en
13,Cloud & AI,LearningPath,TS - Cloud & AI Infra CSA Skilling Role Success Path,13136,TS - Cloud & AI Infra CSA Skilling Role Success Path,https://learningpath.microsoft.com/13136,,LearningPath,978626,Yes,,"This learning path provides a framework and role-based guide as a recommended path for CAIP CSAs to build technical expertise, consultative skills, certifications, and hands-on experience. 
Organized to support continuous learning and proficiency growth, it combines foundational and advanced resources using a Prepare → Practice → Demonstrate approach to help learners develop the skills needed to drive customer success and business impact.",8/7/2026 12:00:00 AM,MCAPS Academy,LearningAdminCentral,Cloud & AI,Technical Skills,AI & ML Technologies,Proficient,L300,,en
14,Cloud & AI,LearningPath,TS - Cloud Solution Architect Infra TechLabs (LP11361),11361,TS - Cloud Solution Architect Infra TechLabs (LP11361),https://learningpath.microsoft.com/11361,1h 30m,LearningPath,977753,Yes,,"These Hands-on Labs are curated to help you be successful in your role with hands-on expertise in cloud migration, modernisation, infrastructure automation, and AI-ready architecture. It focuses on real-world technical scenarios that enhance engineers' ability to deliver scalable, secure, and innovative solutions across diverse workloads.",9/8/2025 12:00:00 AM,MCAPS Academy,LearningAdminCentral,Cloud & AI,Technical Skills,AI & ML Technologies,Proficient,L300,1.5,en
15,Cloud & AI,Online Course,Access Historical Data with Time Travel in Snowflake,PSL56778.00,Access Historical Data with Time Travel in Snowflake,https://app.pluralsight.com/sso/microsoft.com?returnUrl=/library/courses/snowflake-access-historical-data-time-travel,15m,Online Course,1290114,Yes,,"The Snowflake Cloud Data Platform has a powerful feature called Time Travel to access the history of data as it changes over time. 

In this course, Access Historical Data with Time Travel in Snowflake, you’ll learn about using this feature to look at different versions of data at different moments in time and recover data that has been deleted or dropped.

First, you’ll explore what Time Travel is, its limitations, and what problems it solves. 
Next, you’ll discover the different query syntax clauses available to access data with Time Travel. 
Then, you'll use Time Travel to create clones of objects as they existed in a point in time in the past. 
Finally, you'll look at using Time Travel to recover dropped data.

When you’re finished with this course, you’ll have the skills and knowledge of accessing historical data with Time Travel in Snowflake.",8/1/2024 12:00:00 AM,EMLI,PLURALSIGHT,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,0.25,en
16,Cloud & AI,Online Course,Become a trusted advisor OJT attestation,S9266888,Become a trusted advisor OJT attestation,https://learningplayer.microsoft.com/activity/S9266888/launch,4m,Online Course,1648567,Yes,0.0799999982118606,eLearning for Modern Work Cloud Solution Architects to attest completion of OJT: Become a trusted advisor.,7/3/2023 12:00:00 AM,MCAPS Academy,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,0.0666666666666666,en
17,Cloud & AI,Online Course,Build and Deploy Anywhere with OpenAI GPT-5-Codex,4642011,Build and Deploy Anywhere with OpenAI GPT-5-Codex,https://www.linkedin.com/checkpoint/enterprise/login/3322?pathWildcard=3322&application=learning&dApp=223557096&redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Flearning%2Fbuild-and-deploy-anywhere-with-openai-gpt-5-codex%3FdApp%3D223557096%26leis%3DLAA%26u%3D3322,28m,Online Course,1008140,Yes,,"OpenAI GPT-5-Codex isn’t just an upgrade, it’s a way to move faster. You’ll learn to write, edit, and refactor code across IDE, CLI, and cloud tools without the heavy setup. We’ll dig into the new review features, show how to test and ship apps with confidence, and keep the focus on building real things. From quick prototypes to production code, Codex helps you spend less time wrangling and more time shipping.",10/21/2025 12:00:00 AM,LIL,LinkedInLearning,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,0.4666666666666667,en
18,Cloud & AI,Online Course,Cloud Accelerate Factory LevelUp: SQL + Windows Arc,S9316969,Cloud Accelerate Factory LevelUp: SQL + Windows Arc,https://learningplayer.microsoft.com/activity/S9316969/launch,50m,Online Course,1677963,Yes,0.8399999737739563,"Explore how Azure Arc supports centralized management, governance, and security for SQL and Windows workloads across hybrid environments. Learn how to assess hybrid SQL estates, monitor performance, and guide migrations using ESU, MI Link, and LRS.",6/15/2026 12:00:00 AM,MCAPS Academy,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,0.8333333333333334,en
19,Cloud & AI,Online Course,Cloud Consult Essentials PowerPoint,S2650644,Cloud Consult Essentials PowerPoint,https://learningplayer.microsoft.com/activity/S2650644/launch,,Online Course,1542736,Yes,,This is the PowerPoint presented during the Cloud Consult Essentials video.,11/1/2018 12:00:00 AM,CSS Learning,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,,en
20,Cloud & AI,Online Course,Cloud Essentials,250260,Cloud Essentials,https://learningplayer.microsoft.com/activity/250260/launch,1h 30m,Online Course,1414863,Yes,1.5,"This 100-level, 90-minute course has been designed for Premier and GBS Delivery teams and provides the fundamental knowledge needed to have effective cloud conversations with customers.",1/31/2014 12:00:00 AM,Services,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,1.5,en
21,Cloud & AI,Online Course,Cloud and AI Platforms Role Fundamentals for Solution Specialists,S9304611,Cloud and AI Platforms Role Fundamentals for Solution Specialists,https://learningplayer.microsoft.com/activity/S9304611/launch,7344 1,Online Course,1671832,Yes,2.0399999618530273,"Review this role immersion course to gain a solid understanding of the FY26 role for Cloud and AI Platform Solution Specialists. This course will provide a comprehensive overview of the role’s scope and core responsibilities. You’ll also explore the strategic priorities and key changes shaping the role in FY26, equipping you with the insights needed to succeed in the year ahead.",8/27/2025 12:00:00 AM,MCAPS Academy,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,,en
22,Cloud & AI,Online Course,Cloud for Business: Developing a Cloud Center of Excellence,2446259,Cloud for Business: Developing a Cloud Center of Excellence,https://www.linkedin.com/checkpoint/enterprise/login/3322?pathWildcard=3322&application=learning&dApp=223557096&redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Flearning%2Fcloud-for-business-developing-a-cloud-center-of-excellence%3FdApp%3D223557096%26leis%3DLAA%26u%3D3322,48m,Online Course,988037,Yes,,"If you work in enterprise IT, you may be interested in finding out more about the benefits of having a Cloud Center of Excellence (CCoE) in your organization. A CCoE can be a key component to successful cloud adoption, management, and optimization. The CCoE is an internal, centralized group that provides best practice guidance across IT while incorporating stakeholder input from across the business. In this course, instructor Lee Atchison provides practical guidance for determining if a CCoE can benefit your organization, as well as how to create a CCoE and leverage it for successful outcomes.<br><br>Explore typical CCoE organization models and what they can do for enterprise cloud architects. Get recommendations on who should be included within the CCoE to promote inclusion and represent the needs of the entire organization. Along the way, find out how to measure the success of your CCoE as you build it, wielding tools from data analytics to save money, time, and more.",6/3/2022 12:00:00 AM,LIL,LinkedInLearning,Cloud & AI,Technical Skills,AI & ML Technologies,Advanced,L400,0.8,en
23,Cloud & AI,Online Course,Connect hybrid and multicloud environments to Microsoft Defender for Cloud,A5B8D595-3B6A-4EFA-9186-7D8A3F45ECA1,Connect hybrid and multicloud environments to Microsoft Defender for Cloud,https://learn.microsoft.com/en-us/training/modules/connect-hybrid-multicloud-environments-defender/?WT.mc_id=api_CatalogApi,52m,Online Course,1028416,Yes,,"Connect on-premises servers, AWS accounts, and GCP projects to Microsoft Defender for Cloud to extend unified security coverage across a hybrid and multicloud estate. Learn how federated authentication secures connector access, plan connector strategy, and configure native connectors for AWS and GCP.",4/15/2026 12:00:00 AM,,MSLearn,Cloud & AI,Technical Skills,AI & ML Technologies,Intermediate,L200,0.8666666666666667,en
24,Cloud & AI,Online Course,Defender for Servers,S9317905,Defender for Servers,https://learningplayer.microsoft.com/activity/S9317905/launch,55m,Online Course,1678788,Yes,0.9200000166893004,"This session covers Microsoft Defender for Servers, a core plan in Defender for Cloud that extends advanced threat protection, vulnerability management, and endpoint security to Azure VMs, on-premises servers, and hybrid/multicloud environments via Azure Arc. We will cover key features: integration with Microsoft Defender for Endpoint (MDE) for full EDR capabilities (e.g., behavioral analysis, automated investigation), runtime threat detection, file integrity monitoring (FIM), and vulnerability assessment (MDVM), DNS Protection (P2). We'll clarify legacy support (what's included in older """"Defender for Servers"""" plans vs. modern unified coverage), the shift to direct onboarding (P1 plan enabled by default) and how these elements provide comprehensive server hardening — equipping attendees to position Defender for Servers as the go-to solution for securing hybrid workloads, reducing attack surface, and driving Azure consumption through Arc-enabled extensions and MDE licensing synergies.",7/7/2026 12:00:00 AM,MCAPS Academy,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Proficient,L300,0.9166666666666666,en
25,Cloud & AI,Online Course,Describe identities in Zero Trust,44584F65-9DD5-46D1-9CD0-774D543EF96C,Describe identities in Zero Trust,https://learn.microsoft.com/en-us/training/modules/zero-trust-identities/?WT.mc_id=api_CatalogApi,14m,Online Course,1025426,Yes,,"With the advent of cloud applications and the increase in employees working remotely, or bringing their own devices, it's critical to verify identities with strong authentication and ensure access is compliant.",7/20/2022 12:00:00 AM,,MSLearn,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,0.2333333333333333,en
26,Cloud & AI,Online Course,Design a Cloud Migration Strategy,2835017,Design a Cloud Migration Strategy,https://www.linkedin.com/checkpoint/enterprise/login/3322?pathWildcard=3322&application=learning&dApp=223557096&redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Flearning%2Fdesign-a-cloud-migration-strategy%3FdApp%3D223557096%26leis%3DLAA%26u%3D3322,2h 21m,Online Course,994513,Yes,,"The success of your cloud migration is enormously dependent upon how well thought out the strategy is. In this course, instructor Brien Posey takes a vendor-neutral look at the key design considerations that need to go into any migration strategy—whether you're migrating to AWS, Microsoft Azure, Google Cloud, or another platform. Learn how to identify your migration goals, estimate costs, and avoid common mistakes. Explore popular options such as rehosting, replatforming, and SaaS adoption. Find out when it's appropriate to refactor or retire workloads and get tips for implementing your migration plan, complete with considerations for IT pros. Plus, go over migration exit strategies: why have one, how to create one, and how to know when to use it.",6/15/2020 12:00:00 AM,LIL,LinkedInLearning,Cloud & AI,Technical Skills,AI & ML Technologies,Proficient,L300,2.35,en
27,Cloud & AI,Online Course,FY25 BizApps Ready to Win: Modernize Service,S9289315,FY25 BizApps Ready to Win: Modernize Service,https://learningplayer.microsoft.com/activity/S9289315/launch,1h 20m,Online Course,1662081,Yes,1.340000033378601,This introductory learning path is focused on Contact Certer Modernization by considering a fictional case study where Salesforce is incumbent CRM where customer is keen to replace Genesys which is current Contact Center solution with a flexible cloud born solution to modernize their contact center operations.,9/18/2024 12:00:00 AM,Employee Learning & Development,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,1.3333333333333333,en
28,Cloud & AI,Online Course,FY27 Cloud & AI Platform CSU Launch Home,S9318444,FY27 Cloud & AI Platform CSU Launch Home,https://learningplayer.microsoft.com/externalurl/S9318444/launch,,Online Course,1679228,Yes,,Here you will find the FY27 Cloud & AI Platform CSU resources to help you confidently execute in FY27 with momentum and clarity.,7/22/2026 12:00:00 AM,MCAPS Academy,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,,en
29,Cloud & AI,Online Course,Getting Started with Apache TinkerPop and Gremlin,PSL972049971.00,Getting Started with Apache TinkerPop and Gremlin,https://app.pluralsight.com/sso/microsoft?returnUrl=courses/getting-started-apache-tinkerpop-gremlin,,Online Course,1296869,Yes,,"Graph databases in general, and Apache TinkerPop enabled databases in particular, are being increasingly used to model highly connected systems. In this course, Getting Started with Apache TinkerPop and Gremlin, you'll gain the ability to build apps for these highly connected systems. First, you'll explore the importance of graph databases, how to build graph models, and how to install the Gremlin console and TinkerGraph. Next, you'll discover how to query and update a TinkerPop database using the Gremlin traversal language. Finally, you'll learn how to use the skills learned to work with a cloud based TinkerPop enabled database – Azure Cosmos DB. When you're finished with this course, you'll have the skills and knowledge of Apache TinkerPop and the Gremlin traversal language needed to build apps for highly connected systems.",8/28/2020 12:00:00 AM,EMLI,PLURALSIGHT,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,,en
30,Cloud & AI,Online Course,IP Skills Assessment Cloud Service Capability Evaluation - Targeted,S9239359,IP Skills Assessment Cloud Service Capability Evaluation - Targeted,https://learningplayer.microsoft.com/activity/S9239359/launch,30m,Online Course,1635038,Yes,0.5,IP Skills Assessment Cloud Service Capability Evaluation - Targeted,8/9/2022 12:00:00 AM,World Wide Readiness,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,0.5,en
31,Cloud & AI,Online Course,IP Skills Assessment: Cloud and AI Endpoints Activation_Self-Attestation,S9307125,IP Skills Assessment: Cloud and AI Endpoints Activation_Self-Attestation,https://learningplayer.microsoft.com/activity/S9307125/launch,20m,Online Course,1672790,Yes,0.3400000035762787,"This Cloud and AI Endpoints enablement service provides a structured, phased approach designed to align with your organization's strategic goals for endpoints management. With our Cloud Solution Architect guidance, your organization will be equipped to implement a robust Cloud PC virtualization strategy, including planning, configuration, deployment, and features adoption. Our collaborative approach ensures that your solution is tailored to meet your specific business requirements, enabling seamless integration and optimal performance of your chosen Azure Virtual Desktop and/or Windows 365 solution.",10/2/2025 12:00:00 AM,CSS Learning,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Proficient,L300,0.3333333333333333,en
32,Cloud & AI,Online Course,IP Skills Assessment: Modern Service Management Cloud Success Plan,S2667644,IP Skills Assessment: Modern Service Management Cloud Success Plan,https://learningplayer.microsoft.com/activity/S2667644/launch,49m,Online Course,1543280,Yes,0.8299999833106995,"This is the knowledge check for the Modern Service Management Cloud Success Plan accreditation. Before starting this knowledge check, you should ensure you meet all requirements listed in the ARP.",11/7/2018 12:00:00 AM,Services,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,0.8166666666666667,en
33,Cloud & AI,Online Course,IP Skills Assessment: Solution Optimization - Microsoft Defender for Cloud Apps_Self-Attestation,S9290658,IP Skills Assessment: Solution Optimization - Microsoft Defender for Cloud Apps_Self-Attestation,https://learningplayer.microsoft.com/activity/S9290658/launch,20m,Online Course,1662530,Yes,0.3400000035762787,This offering is designed to help you examine and optimize the performance of your Microsoft Defender for Cloud Apps (MDA) environment. The engagement with Microsoft engineer will help you to identify any current or potential issues and provide recommendations on performance improvements and best practices.,10/8/2024 12:00:00 AM,CSS Learning,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Proficient,L300,0.3333333333333333,en
34,Cloud & AI,Online Course,IP Skills Assessment: Well-Architected Cost Optimization Assessment_Self-Attestation,S9299698,IP Skills Assessment: Well-Architected Cost Optimization Assessment_Self-Attestation,https://learningplayer.microsoft.com/activity/S9299698/launch,20m,Online Course,1666743,Yes,0.3400000035762787,"Optimizing cloud costs is crucial for maintaining efficiency and maximizing return on investment. The Well-Architected Cost Optimization Assessment helps organizations analyze their Azure workloads and platform usage, ensuring a cost-effective, scalable, and efficient cloud environment.

By following the Microsoft Azure Well-Architected Framework (WAF), this assessment identifies inefficiencies and provides actionable recommendations to reduce unnecessary expenses, improve resource utilization, and enhance cost visibility.",3/26/2025 12:00:00 AM,CSS Learning,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Proficient,L300,0.3333333333333333,en
35,Cloud & AI,Online Course,IP Skills Assessment: Workshop - Microsoft Defender for Cloud_Self-Attestation,S9284695,IP Skills Assessment: Workshop - Microsoft Defender for Cloud_Self-Attestation,https://learningplayer.microsoft.com/activity/S9284695/launch,19m,Online Course,1658972,Yes,0.3300000131130218,"Microsoft Defender for Cloud is a cloud native application protection platform that strengthens your security posture and provides advanced threat protection across your hybrid workloads, both in the    cloud , on-premises and resources in
Multi-Cloud.   The Workshop - Microsoft Defender for Cloud will help you get started with Microsoft Defender for Cloud so that you can take advantage of the enhanced security Management and threat protection for your hybrid, cloud workloads.",6/10/2024 12:00:00 AM,CSS Learning,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Proficient,L300,0.3166666666666666,en
36,Cloud & AI,Online Course,IP Skills Assessment: Workshop - Microsoft Defender for Identity,S9316985,IP Skills Assessment: Workshop - Microsoft Defender for Identity,https://learningplayer.microsoft.com/activity/S9316985/launch,1h,Online Course,1677976,Yes,1.0,Microsoft Defender for Identity (MDI) is a cloud-based security solution that helps secure your identity monitoring across your organization. This offering is designed to provide you with the knowledge to understand the key principles and features of MDI. We present details about MDI integration with Microsoft Defender XDR- and how it leverages signals from both on-premises Active Directory and cloud identities to help you better identify- detect- and investigate advanced threats directed at your organization.,6/16/2026 12:00:00 AM,CSS Learning,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Proficient,L300,1.0,en
37,Cloud & AI,Online Course,Ignite Summary: Powering Frontier Partnerships Keynote,S9307575,Ignite Summary: Powering Frontier Partnerships Keynote,https://learningplayer.microsoft.com/activity/S9307575/launch,5m,Online Course,1673310,Yes,0.0900000035762786,Review the main topics covered in this session that explored the evolving role of partners in shaping the next generation of Frontier Firms. The session included the latest investments and announcements from the Microsoft AI Cloud Partner Program (MAICPP). Prepare to turn Ignite insights into action with your customers and partners.,10/22/2025 12:00:00 AM,MCAPS Academy,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,0.0833333333333333,en
38,Cloud & AI,Online Course,Implement JIT and JEA Administration in Windows Server 2019,PSL5982.00,Implement JIT and JEA Administration in Windows Server 2019,https://app.pluralsight.com/sso/microsoft?returnUrl=courses/implement-jit-jea-administration-windows-server-2019,,Online Course,1290509,Yes,,"The modern Windows network has issues with locking down security. In this course, Implement JIT and JEA Administration in Windows Server 2019, you’ll learn how to create an environment to protect administrative access to only authorized users and only when they need it and will learn about two different ways to accomplish this secure goal. First, you’ll learn about Just Enough Administration. This includes creating configuration and capability files to configure the JEA environment. Next, you’ll explore Just In Time administration. This type of security involves separating administrative access using bastion forests and domains. Finally, you’ll configure a bastion forest and create the necessary links and trusts to work between this forest and your production forest. You’ll learn this by utilizing shadow principles using Microsoft Identity Manager. By the end of this course, you'll be able to secure your on-premise or cloud environment more completely with JEA and JIT.",1/22/2021 12:00:00 AM,EMLI,PLURALSIGHT,Cloud & AI,Technical Skills,AI & ML Technologies,Proficient,L300,,en
39,Cloud & AI,Online Course,Implement and manage Microsoft Purview Data Loss Prevention,204D6726-0C6D-4E97-96E1-CE7F0F1DF4A6,Implement and manage Microsoft Purview Data Loss Prevention,https://learn.microsoft.com/en-us/training/paths/purview-implement-manage-dlp/?WT.mc_id=api_CatalogApi,4h 10m,Online Course,1024321,Yes,,"Organizations need to prevent data loss and safeguard sensitive information to meet security and compliance goals. Microsoft Purview provides DLP capabilities to detect and respond to risky activities across cloud and endpoint environments. Learn how to design, configure, and manage DLP policies using Microsoft Purview. This learning path aligns with exam SC-401: Microsoft Information Security Administrator.",3/25/2025 12:00:00 AM,,MSLearn,Cloud & AI,Technical Skills,AI & ML Technologies,Proficient,L300,4.166666666666667,en
40,Cloud & AI,Online Course,Implement app protection by using Microsoft Defender for Cloud Apps,B42550F5-3FFA-481D-A08F-4538EAF6DC20,Implement app protection by using Microsoft Defender for Cloud Apps,https://learn.microsoft.com/en-us/training/modules/implement-app-protection-use-microsoft-defender-cloud-apps/?WT.mc_id=api_CatalogApi,44m,Online Course,1028858,Yes,,"This module examines how to implement Microsoft Defender for Cloud Apps, which identifies and combats cyberthreats across all your Microsoft and third-party cloud services. MS-102",3/28/2023 12:00:00 AM,,MSLearn,Cloud & AI,Technical Skills,AI & ML Technologies,Intermediate,L200,0.7333333333333333,en
41,Cloud & AI,Online Course,Implement endpoint data loss prevention (DLP) with Microsoft Purview,3DF27BB4-0266-4367-AF3C-4966A7BFB7DB,Implement endpoint data loss prevention (DLP) with Microsoft Purview,https://learn.microsoft.com/en-us/training/modules/purview-implement-endpoint-dlp/?WT.mc_id=api_CatalogApi,51m,Online Course,1025214,Yes,,"Cloud DLP policies stop at the download boundary. Learn how to deploy endpoint DLP in Microsoft Purview to enforce policies on devices where users copy, print, and upload sensitive files.",10/16/2024 12:00:00 AM,,MSLearn,Cloud & AI,Technical Skills,AI & ML Technologies,Intermediate,L200,0.85,en
42,Cloud & AI,Online Course,Innovate using RISE with SAP on the Microsoft Cloud,2F19BA84-6FF5-4C5D-B96C-33484D205100,Innovate using RISE with SAP on the Microsoft Cloud,https://learn.microsoft.com/en-us/training/modules/innovate-rise-sap-microsoft-cloud/?WT.mc_id=api_CatalogApi,26m,Online Course,1024772,Yes,,"Explore how to leverage both RISE with SAP and Microsoft Cloud to optimize workflows, automate tasks, enhance decision-making, and improve team communication and collaboration.",2/3/2025 12:00:00 AM,,MSLearn,Cloud & AI,Technical Skills,AI & ML Technologies,Proficient,L300,0.4333333333333333,en
