module_title,module_url,catalog_level,rubric_level,level_difference
Get started with AI in Azure,https://learn.microsoft.com/training/modules/get-started-with-ai-in-azure/,beginner,L100,0
Get started with AI-powered information extraction in Azure,https://learn.microsoft.com/training/modules/get-started-information-extraction/,beginner,L100,0
Get started with Claude in Microsoft Foundry,https://learn.microsoft.com/training/modules/claude-in-foundry/,intermediate,L100,-1
Get started with computer vision in Azure,https://learn.microsoft.com/training/modules/get-started-vision-azure/,beginner,L100,0
Get started with generative AI and agents in Azure,https://learn.microsoft.com/training/modules/get-started-with-generative-ai-and-agents/,beginner,L100,0
Get started with Microsoft Foundry IQ,https://learn.microsoft.com/training/modules/get-started-foundry-iq/,beginner,L100,0
Get started with speech in Azure,https://learn.microsoft.com/training/modules/get-started-speech-azure/,beginner,L100,0
Get started with text analysis in Azure,https://learn.microsoft.com/training/modules/get-started-text-analysis-azure/,beginner,L100,0
Govern AI ready workloads with Microsoft Foundry,https://learn.microsoft.com/training/modules/govern-ai-ready-workloads-microsoft-foundry/,intermediate,L200,0
Govern AI services with Azure Policy,https://learn.microsoft.com/training/modules/govern-ai-azure-policy/,beginner,L200,1
Govern the enterprise agent lifecycle in Microsoft Foundry,https://learn.microsoft.com/training/modules/aaai-govern-enterprise-agent-lifecycle-azure/,advanced,L200,-1
Guided project - Embrace responsible AI,https://learn.microsoft.com/training/modules/embrace-responsible-ai/,beginner,L200,1
Identify and Prioritize High-Impact AI Agent Use Cases,https://learn.microsoft.com/training/modules/identify-ai-agent-use-case/,intermediate,L400,1
Implement a responsible generative AI solution in Microsoft Foundry,https://learn.microsoft.com/training/modules/responsible-ai-studio/,intermediate,L300,0
Implement advanced multi-agent orchestration patterns in Microsoft Foundry,https://learn.microsoft.com/training/modules/aaai-implement-multi-agent-orchestration-azure-ai-foundry/,advanced,L300,-1
Implement advanced RAG pipelines with Azure AI Search and Microsoft Foundry,https://learn.microsoft.com/training/modules/aaai-implement-advanced-rag-azure-ai-search/,advanced,L300,-1
Implement AI tools into a training environment,https://learn.microsoft.com/training/modules/implement-ai-tools-into-training-environment/,beginner,L300,1
Implement Azure OpenAI keyless authentication with Java,https://learn.microsoft.com/training/modules/intro-azure-openai-managed-identity-auth-java/,beginner,L300,1
Implement best practices to empower AI agent efficiency and ensure long-term success,https://learn.microsoft.com/training/modules/adopt-ai-agent-best-practice/,intermediate,L300,0
Implement CI/CD pipelines for multi-agent systems with GitHub Actions,https://learn.microsoft.com/training/modules/aaai-implement-cicd-multi-agent-systems-github-actions/,advanced,L300,-1
Implement distributed observability for multi-agent solutions with OpenTelemetry,https://learn.microsoft.com/training/modules/aaai-implement-distributed-observability-multi-agent-opentelemetry/,advanced,L300,-1
Implement generative AI agents with Azure Database for PostgreSQL,https://learn.microsoft.com/training/modules/implement-generative-ai-agents-azure-postgresql/,intermediate,L300,0
Implement generative AI guardrails in Azure AI Foundry,https://learn.microsoft.com/training/modules/moderate-content-detect-harm-azure-ai-content-safety-studio/,beginner,L300,1
Implement Microsoft Fabric Data Agents (chat with your data),https://learn.microsoft.com/training/modules/implement-fabric-data-agents/,intermediate,L300,0
Implement resilient AI-ready infrastructure,https://learn.microsoft.com/training/modules/implement-resilient-ai-ready-infrastructure/,intermediate,L300,0
Implement secure AI-ready infrastructure with Azure services,https://learn.microsoft.com/training/modules/implement-secure-ai-ready-infrastructure-azure-services/,intermediate,L300,0
Integrate custom tools into your agent,https://learn.microsoft.com/training/modules/build-agent-with-custom-tools/,intermediate,L300,0
Integrate MCP Tools with Azure AI Agents,https://learn.microsoft.com/training/modules/connect-agent-to-mcp-tools/,intermediate,L300,0
Integrate your agent with Microsoft 365,https://learn.microsoft.com/training/modules/integrate-foundry-agent-with-m365/,intermediate,L300,0
Introduction to AI speech concepts,https://learn.microsoft.com/training/modules/introduction-ai-speech/,beginner,L100,0
Introduction to AI-powered information extraction concepts,https://learn.microsoft.com/training/modules/introduction-information-extraction/,beginner,L100,0
Introduction to Azure OpenAI managed identity authentication with JavaScript,https://learn.microsoft.com/training/modules/intro-azure-openai-managed-identity-auth-javascript/,beginner,L100,0
Introduction to Azure OpenAI managed identity authentication with Python,https://learn.microsoft.com/training/modules/intro-azure-openai-managed-identity-auth-python/,beginner,L100,0
Introduction to building copilots for startups,https://learn.microsoft.com/training/modules/intro-to-copilots-for-startups/,beginner,L100,0
Introduction to computer vision concepts,https://learn.microsoft.com/training/modules/introduction-computer-vision/,beginner,L100,0
Introduction to computer vision with TensorFlow,https://learn.microsoft.com/training/modules/intro-computer-vision-tensorflow/,beginner,L100,0
Introduction to generative AI - Exploring the basics,https://learn.microsoft.com/training/modules/intro-generative-ai-explore-basics/,beginner,L100,0
Introduction to generative AI and agents,https://learn.microsoft.com/training/modules/fundamentals-generative-ai/,beginner,L100,0
Introduction to large language models,https://learn.microsoft.com/training/modules/introduction-large-language-models/,beginner,L100,0
Introduction to Microsoft Foundry Agent Service security controls,https://learn.microsoft.com/training/modules/intro-ai-agent-service-security-controls/,beginner,L100,0
Introduction to Microsoft Foundry on Windows,https://learn.microsoft.com/training/modules/introduction-microsoft-foundry-windows/,beginner,L100,0
Introduction to Microsoft's Responsible AI Approach,https://learn.microsoft.com/training/modules/introduction-to-microsofts-responsible-ai-approach/,beginner,L100,0
Introduction to mixed reality,https://learn.microsoft.com/training/modules/intro-to-mixed-reality/,beginner,L100,0
Introduction to natural language processing concepts,https://learn.microsoft.com/training/modules/introduction-language/,beginner,L100,0
Introduction to retrieval-augmented generation concepts,https://learn.microsoft.com/training/modules/rag-fundamentals/,beginner,L100,0
Introduction to using Managed Identity to authenticate to Azure OpenAI in Microsoft Foundry Models with .NET,https://learn.microsoft.com/training/modules/intro-azure-openai-managed-identity-auth-dotnet/,beginner,L100,0
Manage and optimize AI agent investments on Azure,https://learn.microsoft.com/training/modules/manage-optimize-agent-investment-azure/,intermediate,L400,1
Manage prompts for agents in Microsoft Foundry with GitHub,https://learn.microsoft.com/training/modules/prompt-versioning-genaiops/,intermediate,L200,0
Maximize cost efficiency by choosing the right AI agent development approach on Azure,https://learn.microsoft.com/training/modules/maximize-cost-efficiency-ai-agent-development/,intermediate,L400,1
Measure and mitigate risks for a generative AI app in Azure AI Foundry,https://learn.microsoft.com/training/modules/measure-mitigate-risks-azure-ai-studio/,beginner,L400,2
Monitor your generative AI application,https://learn.microsoft.com/training/modules/monitor-generative-ai-app/,intermediate,L300,0
Optimize and fine-tune AI agents for production,https://learn.microsoft.com/training/modules/optimize-finetune-agents/,intermediate,L400,1
Optimize generative AI model performance with Microsoft Foundry,https://learn.microsoft.com/training/modules/optimize-generative-ai-model-performance/,intermediate,L400,1
Optimize multi-agent performance and cost in Microsoft Foundry,https://learn.microsoft.com/training/modules/aaai-optimize-multi-agent-performance-cost-azure/,advanced,L400,0
Orchestrate a multi-agent solution using the Microsoft Agent Framework,https://learn.microsoft.com/training/modules/orchestrate-semantic-kernel-multi-agent-solution/,intermediate,L300,0
Plan and prepare a GenAIOps solution,https://learn.microsoft.com/training/modules/plan-prepare-genaiops/,intermediate,L200,0
Plan and prepare to develop AI solutions on Azure,https://learn.microsoft.com/training/modules/prepare-azure-ai-development/,beginner,L200,1
Protect AI workloads with Microsoft Defender for Cloud,https://learn.microsoft.com/training/modules/defender-for-cloud-ai-protect-workloads/,intermediate,L200,0
Protect and govern AI ready infrastructure with Azure,https://learn.microsoft.com/training/modules/protect-govern-ai-ready-infrastructure-azure/,intermediate,L200,0
Run evaluations and generate synthetic datasets,https://learn.microsoft.com/training/modules/run-evaluations-generate-synthetic-datasets/,beginner,L200,1
Run governed AI workloads with Microsoft Foundry,https://learn.microsoft.com/training/modules/run-governed-ai-workloads-microsoft-foundry/,intermediate,L200,0
Scale responsible AI governance with Azure AI Content Safety and Microsoft Foundry,https://learn.microsoft.com/training/modules/aaai-scale-responsible-ai-governance-multi-agent/,advanced,L500,0
Secure authentication and authorization for Azure OpenAI in Microsoft Foundry,https://learn.microsoft.com/training/modules/secure-azure-openai-authentication-authorization/,beginner,L200,1
Secure Azure OpenAI with content safety controls,https://learn.microsoft.com/training/modules/secure-azure-openai-content-safety-controls/,intermediate,L200,0
Secure developer AI environments with Microsoft Purview,https://learn.microsoft.com/training/modules/purview-ai-developer-apps/,intermediate,L200,0
Secure Microsoft Foundry environments,https://learn.microsoft.com/training/modules/azure-ai-foundry-secure-environment/,intermediate,L200,0
Secure multi-agent systems with Azure zero-trust architecture,https://learn.microsoft.com/training/modules/aaai-secure-multi-agent-systems-azure-zero-trust/,advanced,L200,-1
"Select, deploy, and evaluate Microsoft Foundry models",https://learn.microsoft.com/training/modules/model-catalog-evaluate/,intermediate,L400,1
Set up a mixed reality project for Azure Digital Twins in Unity,https://learn.microsoft.com/training/modules/set-up-mixed-reality-azure-digital-twins-unity/,beginner,L200,1
"Specify requirements for securing SaaS, PaaS, and IaaS services",https://learn.microsoft.com/training/modules/specify-requirements-securing-saas-paas-iaas-services/,advanced,L200,-1
Streamline nonprofit program management with Microsoft Copilot,https://learn.microsoft.com/training/modules/streamline-nonprofit-program-management-with-microsoft-copilot/,beginner,L200,1
Streamline training plans with AI tools,https://learn.microsoft.com/training/modules/streamline-training-plans-with-ai-tools/,beginner,L200,1
Summarize data with Foundry Tools and Azure database for PostgreSQL,https://learn.microsoft.com/training/modules/summarize-data-azure-ai-services-azure-database-postgresql/,intermediate,L200,0
Support multilingual and accessible family communication,https://learn.microsoft.com/training/modules/support-multilingual-accessible-family-communication/,beginner,L200,1
Tailoring trainings with AI,https://learn.microsoft.com/training/modules/tailoring-trainings-with-ai/,beginner,L200,1
Training with AI tools,https://learn.microsoft.com/training/modules/training-with-ai-tools/,beginner,L200,1
Translate text and speech with Microsoft Foundry Tools,https://learn.microsoft.com/training/modules/translate-text-speech/,intermediate,L200,0
Translate Text with Azure Translator and Azure Database for PostgreSQL,https://learn.microsoft.com/training/modules/translate-text-azure-ai-translator-azure-database-postgresql/,intermediate,L200,0
Understand Azure Databricks Integrations,https://learn.microsoft.com/training/modules/understand-azure-databricks-integrations/,intermediate,L100,-1
Understand how Microsoft Defender for Cloud supports AI security and governance in Azure,https://learn.microsoft.com/training/modules/defender-for-cloud-ai-understand-protections/,intermediate,L100,-1
Understand the key cost drivers of AI agents,https://learn.microsoft.com/training/modules/ai-agent-cost-structure/,intermediate,L100,-1
Use AI responsibly with Microsoft Foundry Content Safety,https://learn.microsoft.com/training/modules/responsible-content-safety/,intermediate,L200,0
Use AI tools to create an inclusive learning environment,https://learn.microsoft.com/training/modules/use-ai-tools-to-create-inclusive-learning-environment/,beginner,L200,1
Use AI-powered tools for training,https://learn.microsoft.com/training/modules/ai-powered-tools-for-teaching/,beginner,L200,1
Use Microsoft Copilot to create training materials,https://learn.microsoft.com/training/modules/use-copilot-to-create-training-materials/,beginner,L200,1
