uid,title,learn_url,repository_path,levels,roles,products,subjects,service,source,author,ms_author,ms_date,hidden,inclusion_reasons
learn-wwl.build-ai-solutions-sql-server,Build AI-powered solutions using SQL Server 2025,https://learn.microsoft.com/training/modules/build-ai-solutions-sql-server/,learn-pr/wwl-data-ai/build-ai-solutions-sql-server/index.yml,beginner,developer; data-engineer; solution-architect,sql-server,,sql,wwl-data-ai,JulianePadrao,jupadrao,08/11/2026,False,Content mention
learn.wwl.build-extend-ai-agents,Build and extend AI agents with Microsoft Foundry,https://learn.microsoft.com/training/modules/build-extend-ai-agents/,learn-pr/wwl-data-ai/build-extend-ai-agents/index.yml,intermediate,ai-engineer; developer; solution-architect; student,microsoft-foundry; foundry-agent-service,artificial-intelligence,microsoft-foundry,wwl-data-ai,madiepev,madiepev,08/21/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.build-enterprise-tool-ecosystems-mcp-azure,Build enterprise-grade tool ecosystems with MCP and Microsoft Foundry,https://learn.microsoft.com/training/modules/aaai-build-enterprise-tool-ecosystems-mcp-azure/,learn-pr/wwl-data-ai/aaai-build-enterprise-tool-ecosystems-mcp-azure/index.yml,advanced,ai-engineer; solution-architect; developer,azure; microsoft-foundry; foundry-agent-service,artificial-intelligence; app-development,microsoft-foundry,wwl-data-ai,petender,petender,7/31/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.introduction-foundry-iq,Build knowledge-enhanced AI agents with Foundry IQ,https://learn.microsoft.com/training/modules/introduction-foundry-iq/,learn-pr/wwl-data-ai/introduction-foundry-iq/index.yml,intermediate,ai-engineer; developer; solution-architect,azure; microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,madiepev,madiepev,5/29/2026,False,Product metadata; Service metadata
learn.philanthropies.build-vision,"Build the vision - visual content creation with Copilot, Designer & Clipchamp",https://learn.microsoft.com/training/modules/build-vision/,learn-pr/philanthropies/build-vision/index.yml,beginner,student; maker; k-12-educator; business-user; higher-ed-educator,ms-copilot; foundry-tools,artificial-intelligence,artificial-intelligence,philanthropies,kariannab-ms,kbarreto,4/25/2025,False,Product metadata
learn.student-evangelism.challenge-project-build-speech-translator-app,Challenge project - Build a speech translator app,https://learn.microsoft.com/training/modules/challenge-project-build-speech-translator-app/,learn-pr/student-evangelism/challenge-project-build-speech-translator-app/index.yml,beginner,student; business-user; developer; higher-ed-educator,m365; azure; power-platform,data-management,foundry-tools,student-evangelism,theoyinbooke,somelezediko,12/13/2023,False,Service metadata
learn.azure.configure-3d-assets-mixed-reality-unity,Configure 3D assets for mixed reality in Unity,https://learn.microsoft.com/training/modules/configure-3d-assets-mixed-reality-unity/,learn-pr/azure/configure-3d-assets-mixed-reality-unity/index.yml,beginner,developer; business-owner; student; technology-manager,azure; azure-cloud-services; foundry-tools; azure-digital-twins; azure-iot; azure-iot-hub; azure-signalr-service; azure-functions; hololens; windows; windows-mixed-reality,mixed-reality,mixed-reality,azure,JBrentJ,jejacks,05/24/2024,False,Product metadata
learn.wwl.configure-ai-gateway-security-foundry,Configure AI Gateway security in Microsoft Foundry,https://learn.microsoft.com/training/modules/configure-ai-gateway-security-foundry/,learn-pr/wwl-sci/configure-ai-gateway-security-foundry/index.yml,intermediate,security-engineer,azure; microsoft-foundry; azure-api-management,security; cloud-security,azure-api-management,wwl-sci,r-c-stewart,roberts,04/21/2026,False,Product metadata; Content mention
learn.wwl.configure-ai-ready-infrastructure-microsoft-foundry,Configure AI-ready infrastructure with Microsoft Foundry,https://learn.microsoft.com/training/modules/configure-ai-ready-infrastructure-microsoft-foundry/,learn-pr/wwl-azure/configure-ai-ready-infrastructure-microsoft-foundry/index.yml,intermediate,administrator,azure; microsoft-foundry,artificial-intelligence; infrastructure,azure,wwl-azure,wwlpublish,robbarefoot,08/18/2026,False,Product metadata; Content mention
learn.wwl.azure-ai-foundry-configure-manage-guardrails,Configure and manage guardrails in Microsoft Foundry,https://learn.microsoft.com/training/modules/azure-ai-foundry-configure-manage-guardrails/,learn-pr/wwl-sci/azure-ai-foundry-configure-manage-guardrails/index.yml,intermediate,security-engineer; developer,azure; microsoft-foundry; defender-for-cloud,security; cloud-security,microsoft-foundry,wwl-sci,wwlpublish,riswinto,10/14/2025,False,Product metadata; Service metadata; Content mention
learn.wwl.configure-network-security-azure-storage,Configure network security for Azure Storage,https://learn.microsoft.com/training/modules/configure-network-security-azure-storage/,learn-pr/wwl-sci/configure-network-security-azure-storage/index.yml,intermediate,security-engineer,azure; azure-storage; azure-virtual-network; azure-private-link,security; cloud-security; networking,azure-storage,wwl-sci,r-c-stewart,roberts,04/22/2026,False,Content mention
learn.azure.connect-iot-hololens-azure-digital-twins-unity,Connect IoT data to mixed reality with Azure Digital Twins and Unity,https://learn.microsoft.com/training/modules/connect-iot-hololens-azure-digital-twins-unity/,learn-pr/azure/connect-iot-hololens-azure-digital-twins-unity/index.yml,intermediate,developer; business-owner; student; technology-manager,azure; azure-cloud-services; foundry-tools; azure-digital-twins; azure-iot; azure-iot-hub; azure-signalr-service; azure-functions; hololens; windows; windows-mixed-reality,mixed-reality; iot,azure-digital-twins,azure,JBrentJ,lolab,09/10/2024,False,Product metadata
learn.oxford.connect-iot-devices-cognitive-services-azure-func,Connect IoT devices to Azure AI Speech using Azure Functions,https://learn.microsoft.com/training/modules/connecting-iot-devices-cognitive-services-azure-functions/,learn-pr/student-evangelism/connecting-iot-devices-cognitive-services-azure-functions/index.yml,intermediate,ai-edge-engineer,azure-iot-hub; azure-functions,iot; machine-learning; serverless-computing,azure-speech-foundry-tools,student-evangelism,orin-thomas,orthomas,05/01/2026,False,Service metadata
learn.wwl.convert-oracle-schema-azure-database-postgresql-ai,Convert Oracle schemas to Azure Database for PostgreSQL by using AI,https://learn.microsoft.com/training/modules/convert-oracle-schema-azure-database-postgresql-ai/,learn-pr/wwl-data-ai/convert-oracle-schema-azure-database-postgresql-ai/index.yml,intermediate,database-administrator; data-engineer,azure-database-postgresql,databases; migration; artificial-intelligence,azure-database-postgresql,wwl-data-ai,JulianePadrao,jupadrao,07/17/2026,False,Content mention
learn.wwl.ai-knowledge-mining,Create a knowledge mining solution with Azure AI Search,https://learn.microsoft.com/training/modules/ai-knowldge-mining/,learn-pr/wwl-data-ai/ai-knowldge-mining/index.yml,intermediate,ai-engineer; developer,foundry-tools,artificial-intelligence,azure-ai-search,wwl-data-ai,ivorb,berryivor,03/11/2026,False,Product metadata
learn.large-language-model-deployment,Create a large language model deployment,https://learn.microsoft.com/training/modules/large-language-model-deployment/,learn-pr/student-evangelism/large-language-model-deployment/index.yml,beginner,developer,azure,,microsoft-foundry,student-evangelism,softchris,chnoring,09/25/2024,False,Service metadata
learn.wwl.analyze-content-ai,Create a multimodal analysis solution with Azure Content Understanding,https://learn.microsoft.com/training/modules/analyze-content-ai/,learn-pr/wwl-data-ai/analyze-content-ai/index.yml,beginner,ai-engineer; developer,foundry-tools; microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,ivorb,berryivor,03/11/2026,False,Product metadata; Service metadata
learn.wwl.analyze-content-ai-api,Create an Azure Content Understanding client application,https://learn.microsoft.com/training/modules/analyze-content-ai-api/,learn-pr/wwl-data-ai/analyze-content-ai-api/index.yml,intermediate,ai-engineer; developer,foundry-tools; microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,ivorb,berryivor,03/11/2026,False,Product metadata; Service metadata
learn.oxford.create-image-recognition-with-azure-iot-edge,"Create an image recognition solution with Azure IoT Edge, Azure AI Custom Vision, and Azure Speech",https://learn.microsoft.com/training/modules/create-image-recognition-solution-iot-edge-cognitive-services/,learn-pr/student-evangelism/create-image-recognition-solution-iot-edge-cognitive-services/index.yml,intermediate,ai-edge-engineer,azure-iot-edge; azure-iot-hub; azure-custom-vision; azure-speech; foundry-tools,machine-learning; iot,foundry-tools,student-evangelism,Orin-Thomas,orthomas,05/01/2026,False,Product metadata; Service metadata
learn.philanthropies.create-prompts-for-generative-ai-training-tools,Create effective prompts for generative AI training tools,https://learn.microsoft.com/training/modules/create-prompts-for-generative-ai-training-tools/,learn-pr/philanthropies/create-prompts-for-generative-ai-training-tools/index.yml,beginner,k-12-educator; business-user; higher-ed-educator; data-engineer; school-leader,foundry-tools; azure-machine-learning; azure-machine-learning-designer; m365-apps; azure-translator-text; azure-translator-speech; ms-copilot; language-service,artificial-intelligence,artificial-intelligence,philanthropies,yoosunee,anruss,01/14/2025,False,Product metadata
learn.philanthropies.create-images-with-generative-ai,Create images with generative AI,https://learn.microsoft.com/training/modules/create-images-with-generative-ai/,learn-pr/philanthropies/create-images-with-generative-ai/index.yml,beginner,k-12-educator; business-user; higher-ed-educator; data-engineer; school-leader,foundry-tools; azure-machine-learning; azure-machine-learning-designer; m365-apps; azure-translator-text; azure-translator-speech; ms-copilot; language-service,artificial-intelligence,artificial-intelligence,philanthropies,yoosunee,anruss,06/02/2025,False,Product metadata
learn.wwl.create-speech-enabled-apps,Create speech-enabled apps with Azure Speech in Microsoft Foundry Tools,https://learn.microsoft.com/training/modules/create-speech-enabled-apps/,learn-pr/wwl-data-ai/create-speech-enabled-apps/index.yml,intermediate,ai-engineer; data-scientist; developer; solution-architect; student,microsoft-foundry,custom-app-development; artificial-intelligence,foundry-tools,wwl-data-ai,ivorb,berryivor,03/10/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.debug-production-multi-agent-incidents-azure,Debug and respond to production multi-agent incidents in Azure,https://learn.microsoft.com/training/modules/aaai-debug-production-multi-agent-incidents-azure/,learn-pr/wwl-data-ai/aaai-debug-production-multi-agent-incidents-azure/index.yml,advanced,ai-engineer; devops-engineer; solution-architect,azure; microsoft-foundry; azure-monitor,artificial-intelligence; devops,microsoft-foundry,wwl-data-ai,petender,petender,8/5/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.design-advanced-prompting-production-agents,Design advanced prompting strategies for production AI agents,https://learn.microsoft.com/training/modules/aaai-design-advanced-prompt-production-agents/,learn-pr/wwl-data-ai/aaai-design-advanced-prompt-production-agents/index.yml,advanced,ai-engineer; solution-architect; developer,azure; microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,petender,petender,8/24/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.design-ai-agents-business-solutions,Design AI agents for business solutions,https://learn.microsoft.com/training/modules/design-ai-agents-business-solutions/,learn-pr/wwl/design-ai-agents-business-solutions/index.yml,advanced,solution-architect,microsoft-365-copilot; microsoft-365-copilot-chat; power-platform; microsoft-copilot-studio; dynamics-365,generative-ai; data-analytics; data-management; data-engineering; data-integration,microsoft-foundry,wwl,Randall-Knapp,taeldin,02/13/2026,False,Service metadata
learn.wwl.design-ai-workloads,Design AI Workloads on Azure,https://learn.microsoft.com/training/modules/design-ai-workloads/,learn-pr/wwl-azure/design-ai-workloads/index.yml,intermediate,solution-architect,azure,solution-design,foundry-tools,wwl-azure,wwlpublish,robbarefoot,06/23/2026,False,Service metadata
learn.wwl.design-alm-process-ai-powered-business-solutions,Design ALM process for AI-powered business solutions,https://learn.microsoft.com/training/modules/design-alm-process-ai-powered-business-solutions/,learn-pr/wwl/design-alm-process-ai-powered-business-solutions/index.yml,intermediate,database-administrator; developer; administrator; solution-architect; technology-manager,microsoft-365-copilot; m365; microsoft-365-copilot-chat; power-platform; microsoft-copilot-studio,generative-ai; data-analytics; data-management; data-engineering; data-integration,foundry-tools,wwl,msdavidram,taeldin,02/12/2026,False,Service metadata
learn.wwl.design-enterprise-agent-communication-a2a,Design enterprise-scale agent communication with A2A in Azure,https://learn.microsoft.com/training/modules/aaai-design-enterprise-agent-communication-a2a/,learn-pr/wwl-data-ai/aaai-design-enterprise-agent-communication-a2a/index.yml,advanced,ai-engineer; solution-architect,azure; microsoft-foundry; foundry-agent-service; azure-cosmos-db,artificial-intelligence,microsoft-foundry,wwl-data-ai,petender,petender,7/30/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.design-evaluation-frameworks-multi-agent-azure,Design evaluation frameworks for multi-agent solutions with Microsoft Foundry,https://learn.microsoft.com/training/modules/aaai-design-evaluation-frameworks-multi-agent-azure/,learn-pr/wwl-data-ai/aaai-design-evaluation-frameworks-multi-agent-azure/index.yml,advanced,ai-engineer; data-scientist; solution-architect,azure; microsoft-foundry,artificial-intelligence; machine-learning,microsoft-foundry,wwl-data-ai,petender,petender,8/5/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.design-extensibility-ai-solutions,Design extensibility of AI solutions,https://learn.microsoft.com/training/modules/design-extensibility-ai-solutions/,learn-pr/wwl/design-extensibility-ai-solutions/index.yml,advanced,solution-architect,microsoft-365-copilot; microsoft-365-copilot-chat; power-platform; microsoft-copilot-studio; dynamics-365,generative-ai; data-analytics; data-management; data-engineering; data-integration,microsoft-365-copilot,wwl,pablorodMS,taeldin,02/13/2026,False,Content mention
learn.wwl.design-human-in-loop-approval-workflows,Design human-in-the-loop approval workflows with Power Automate and Microsoft Teams,https://learn.microsoft.com/training/modules/aaai-design-human-in-loop-approval-workflows/,learn-pr/wwl-data-ai/aaai-design-human-in-loop-approval-workflows/index.yml,advanced,ai-engineer; solution-architect,azure; microsoft-foundry; power-automate,artificial-intelligence; app-development,microsoft-foundry,wwl-data-ai,petender,petender,8/5/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.design-multi-agent-memory-azure-cosmos-db,Design multi-agent memory architectures with Azure Cosmos DB,https://learn.microsoft.com/training/modules/aaai-design-multi-agent-memory-azure-cosmos-db/,learn-pr/wwl-data-ai/aaai-design-multi-agent-memory-azure-cosmos-db/index.yml,advanced,ai-engineer; solution-architect,azure; microsoft-foundry; azure-cosmos-db,artificial-intelligence; machine-learning,microsoft-foundry,wwl-data-ai,petender,petender,8/3/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.design-responsible-ai-security-governance-risk-management-compliance,"Design responsible AI security, governance, risk management, and compliance",https://learn.microsoft.com/training/modules/design-responsible-ai-security-governance-risk-management-compliance/,learn-pr/wwl/design-responsible-ai-security-governance-risk-management-compliance/index.yml,advanced,solution-architect,microsoft-365-copilot; microsoft-365-copilot-chat; power-platform; microsoft-copilot-studio; dynamics-365,generative-ai; data-analytics; data-management; data-engineering; data-integration,foundry-tools,wwl,pabloMS,taeldin,02/09/2026,False,Service metadata
learn.wwl.design-agentic-loops-microsoft-foundry-agent-service,Design stateful agentic loops with Microsoft Foundry agent service,https://learn.microsoft.com/training/modules/aaai-design-agentic-loops-azure-ai-agent-service/,learn-pr/wwl-data-ai/aaai-design-agentic-loops-azure-ai-agent-service/index.yml,advanced,ai-engineer; solution-architect,azure; microsoft-foundry; foundry-agent-service,artificial-intelligence,microsoft-foundry,wwl-data-ai,petender,petender,7/27/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.foundry-sdk,Develop a generative AI chat app with Microsoft Foundry,https://learn.microsoft.com/training/modules/foundry-sdk/,learn-pr/wwl-data-ai/foundry-sdk/index.yml,beginner,ai-engineer; developer,microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,ivorb,berryivor,04/28/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.develop-speech-agent-speech-mcp,Develop a speech agent with the Azure Speech MCP server,https://learn.microsoft.com/training/modules/develop-speech-agent-speech-mcp/,learn-pr/wwl-data-ai/develop-speech-agent-speech-mcp/index.yml,intermediate,ai-engineer; developer,microsoft-foundry; azure-speech,artificial-intelligence,,wwl-data-ai,ivorb,berryivor,03/13/2026,False,Product metadata; Content mention
learn.wwl.develop-generative-ai-audio-apps,Develop a speech-capable generative AI application,https://learn.microsoft.com/training/modules/develop-generative-ai-audio-apps/,learn-pr/wwl-data-ai/develop-generative-ai-audio-apps/index.yml,intermediate,ai-engineer,microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,graememalcolm,gmalc,03/11/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.develop-text-analysis-agent-language-mcp,Develop a text analysis agent with the Azure Language MCP server,https://learn.microsoft.com/training/modules/develop-text-analysis-agent-language-mcp/,learn-pr/wwl-data-ai/develop-text-analysis-agent-language-mcp/index.yml,intermediate,ai-engineer; developer,language-service; microsoft-foundry; foundry-agent-service,artificial-intelligence,azure-language-foundry-tools,wwl-data-ai,ivorb,berryivor,03/13/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.develop-generative-ai-vision-apps,Develop a vision-enabled generative AI application,https://learn.microsoft.com/training/modules/develop-generative-ai-vision-apps/,learn-pr/wwl-data-ai/develop-generative-ai-vision-apps/index.yml,intermediate,ai-engineer,microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,gmalc,gmalc,03/23/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.develop-ai-agents-azure-vs-code,Develop AI agents with Microsoft Foundry and Visual Studio Code,https://learn.microsoft.com/training/modules/develop-ai-agents-azure-vs-code/,learn-pr/wwl-data-ai/develop-ai-agents-azure-vs-code/index.yml,intermediate,ai-engineer; developer; data-scientist; solution-architect,microsoft-foundry; foundry-agent-service,artificial-intelligence,microsoft-foundry,wwl-data-ai,ivorb,berryivor,5/1/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.develop-ai-agent-with-semantic-kernel,Develop an AI agent with Microsoft Agent Framework,https://learn.microsoft.com/training/modules/develop-ai-agent-with-semantic-kernel/,learn-pr/wwl-data-ai/develop-ai-agent-with-semantic-kernel/index.yml,intermediate,ai-engineer; developer; solution-architect; student,microsoft-foundry; foundry-agent-service,artificial-intelligence,microsoft-foundry,wwl-data-ai,buzahid,buzahid,7/14/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.ai-foundry-sdk,Develop an AI app with the Microsoft Foundry SDK,https://learn.microsoft.com/training/modules/ai-foundry-sdk/,learn-pr/wwl-data-ai/ai-foundry-sdk/index.yml,beginner,ai-engineer; developer,microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,wwlpublish,gmalc,08/28/2025,True,Product metadata; Service metadata; Content mention
learn.wwl.develop-voice-live-agent,Develop an Azure Speech Voice Live Agent in Microsoft Foundry,https://learn.microsoft.com/training/modules/develop-voice-live-agent/,learn-pr/wwl-data-ai/develop-voice-live-agent/index.yml,intermediate,developer,microsoft-foundry; foundry-tools,artificial-intelligence,azure-speech-foundry-tools,wwl-data-ai,jeffkoms,jeffko,03/12/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.generative-ai-tools,Develop generative AI apps that use tools,https://learn.microsoft.com/training/modules/use-generative-ai-tools/,learn-pr/wwl-data-ai/use-generative-ai-tools/index.yml,beginner,ai-engineer; developer,microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,graememalcolm,gmalc,04/28/2026,False,Product metadata; Service metadata; Content mention
learn.develop-first-agent,Develop your first agent with Microsoft Foundry,https://learn.microsoft.com/training/modules/develop-first-agent/,learn-pr/wwl-data-ai/develop-first-agent/index.yml,beginner,ai-engineer,microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,GraemeMalcolm,gmalc,7/27/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.discover-agents-with-a2a,Discover Azure AI Agents with A2A,https://learn.microsoft.com/training/modules/discover-agents-with-a2a/,learn-pr/wwl-data-ai/discover-agents-with-a2a/index.yml,intermediate,ai-engineer; developer; solution-architect; student,foundry-tools,artificial-intelligence,microsoft-foundry,wwl-data-ai,buzahid,buzahid,5/29/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.embrace-responsible-ai-principles-practices,Embrace responsible AI principles and practices,https://learn.microsoft.com/training/modules/embrace-responsible-ai-principles-practices/,learn-pr/wwl-data-ai/embrace-responsible-ai-principles-practices/index.yml,beginner,business-leader; business-owner,azure; dynamics-365; m365,artificial-intelligence,foundry-tools,wwl-data-ai,wwlpublish,rcaper,07/10/2026,False,Service metadata
learn.philanthropies.enhance-nonprofit-volunteer-management-microsoft-copilot,Enhance nonprofit volunteer management with Microsoft Copilot,https://learn.microsoft.com/training/modules/enhance-nonprofit-volunteer-management-microsoft-copilot/,learn-pr/philanthropies/enhance-nonprofit-volunteer-management-microsoft-copilot/index.yml,beginner,functional-consultant; higher-ed-educator; school-leader; k-12-educator; business-user; business-owner,foundry-tools; m365-apps; ms-copilot,artificial-intelligence; business-applications,artificial-intelligence,philanthropies,CourtneyHMicrosoft,anruss,01/14/2025,False,Product metadata
learn.wwl.evaluate-optimize-agents,Evaluate and optimize AI agents through structured experiments,https://learn.microsoft.com/training/modules/evaluate-optimize-agents/,learn-pr/wwl-data-ai/evaluate-optimize-agents/index.yml,intermediate,ai-engineer; developer; solution-architect,azure; microsoft-foundry,artificial-intelligence; machine-learning,microsoft-foundry,wwl-data-ai,madiepev,madiepev,02/17/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.explore-ai-governance-ai-ready-infrastructure,Explore AI governance for AI ready infrastructure,https://learn.microsoft.com/training/modules/explore-ai-governance-ai-ready-infrastructure/,learn-pr/wwl-azure/explore-ai-governance-ai-ready-infrastructure/index.yml,intermediate,administrator; ai-engineer,azure; microsoft-foundry,infrastructure,azure,wwl-azure,wwlpublish,robbarefoot,02/02/2026,False,Product metadata; Content mention
learn.wwl.explore-roles-responsibilities-world-of-data,Explore data roles and services,https://learn.microsoft.com/training/modules/explore-roles-responsibilities-world-of-data/,learn-pr/wwl-data-ai/explore-roles-responsibilities-world-of-data/index.yml,beginner,data-analyst; data-engineer; database-administrator; student,azure; fabric; power-bi; azure-databricks; microsoft-foundry; azure-data-factory; azure-storage; azure-cosmos-db; azure-sql-database,data-analytics,azure-education-hub,wwl-data-ai,weslbo,wedebols,06/10/2026,False,Product metadata
learn.philanthropies.exploring-artificial-intelligence-in-action,Exploring artificial intelligence in action,https://learn.microsoft.com/training/modules/exploring-artificial-intelligence-in-action/,learn-pr/philanthropies/exploring-artificial-intelligence-in-action/index.yml,beginner,k-12-educator; higher-ed-educator; business-user; data-engineer; school-leader,foundry-tools; m365-apps; azure-translator-text; azure-translator-speech; ms-copilot; language-service,artificial-intelligence,artificial-intelligence,philanthropies,yoosunee,anruss,01/14/2025,False,Product metadata
